,0,1
348,에이치엠엠(주),NNG
349,에스케이디앤디(주),NNG
350,에스케이렌터카(주),NNG
351,에스케이바이오팜(주),NNG
352,에스케이씨(주),NNG
353,에스케이오션플랜트(주),NNG
354,에스케이텔레콤(주),NNG
355,에스케이하이닉스(주),NNG
356,에쓰-오일(주),NNG
357,에쓰씨엔지니어링(주),NNG
358,에어부산(주),NNG
359,에이치디씨(주),NNG
360,에이치디씨랩스(주),NNG
361,에이치디씨현대이피(주),NNG
362,에이치디한국조선해양(주),NNG
363,에이치디현대인프라코어(주),NNG
364,에이치에스디엔진(주),NNG
365,에이치엘디앤아이한라(주),NNG
366,에이치엘비글로벌(주),NNG
367,에이치엘홀딩스(주),NNG
368,인천도시가스(주),NNG
369,인터지스(주),NNG
370,일동홀딩스(주),NNG
371,일성건설(주),NNG
372,지에스건설(주),NNG
373,지엠비코리아(주),NNG
374,진양산업(주),NNG
375,진양폴리우레탄(주),NNG
376,진양화학(주),NNG
377,진원생명과학(주),NNG
378,진흥기업(주),NNG
379,참엔지니어링(주),NNG
380,컨버즈(주),NNG
381,케이비아이동국실업(주),NNG
382,케이씨그린홀딩스(주),NNG
383,케이씨코트렐(주),NNG
384,케이알모터스(주),NNG
385,케이지모빌리티(주),NNG
386,케이지케미칼(주),NNG
387,케이피엑스케미칼(주),NNG
388,케이피엑스홀딩스(주),NNG
389,코스맥스비티아이(주),NNG
390,코스모신소재(주),NNG
391,조일알미늄(주),NNG
392,조선선재(주),NNG
393,조선내화(주),NNG
394,자이에스앤디(주),NNG
395,일성신약(주),NNG
396,일신방직(주),NNG
397,일양약품(주),NNG
398,일정실업(주),NNG
399,일진다이아몬드(주),NNG
400,일진디스플레이(주),NNG
401,일진전기(주),NNG
402,일진홀딩스(주),NNG
403,자화전자(주),NNG
404,조광피혁(주),NNG
405,전방(주),NNG
406,제이더블유생명과학(주),NNG
407,제이더블유중외제약(주),NNG
408,제이더블유홀딩스(주),NNG
409,제이준코스메틱(주),NNG
410,제일연마공업(주),NNG
411,제일파마홀딩스(주),NNG
412,조광페인트(주),NNG
413,KG스틸(주),NNG
414,남해화학(주),NNG
415,(주)에이블씨엔씨,NNG
416,(주)빙그레,NNG
417,(주)셀트리온,NNG
418,(주)수산인더스트리,NNG
419,(주)수산중공업,NNG
420,(주)시디즈,NNG
421,(주)신도리코,NNG
422,(주)신성이엔지2,NNG
423,(주)신세계,NNG
424,(주)신세계아이앤씨,NNG
